[2025-12-13 20:29:15] [INFO    ] discord.client: logging in using static token
[2025-12-13 20:29:16] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'youtube_tutorial', 'primary_guild': None, 'mfa_enabled': False, 'id': '1449512052027560108', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '3465', 'clan': None, 'bot': True, 'avatar': None}, 'session_type': 'normal', 'session_id': 'c3e86e8a21d57f5d7ee715ed265bfeb9', 'resume_gateway_url': 'wss://gateway-us-east1-c.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1449515858937380955'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['santa-clara', 'us-west', 'oregon', 'seattle', 'us-south'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1449512052027560108', 'flags': 557056}, '_trace': ['["gateway-prd-arm-us-east1-c-nb33",{"micros":183049,"calls":["id_created",{"micros":1123,"calls":[]},"session_lookup_time",{"micros":247,"calls":[]},"session_lookup_finished",{"micros":11,"calls":[]},"discord-sessions-prd-2-35",{"micros":179202,"calls":["start_session",{"micros":160261,"calls":["discord-api-rpc-765f55cc87-4cdqd",{"micros":126914,"calls":["get_user",{"micros":22949},"get_guilds",{"micros":3429},"send_scheduled_deletion_message",{"micros":12},"guild_join_requests",{"micros":18008},"authorized_ip_coro",{"micros":9},"pending_payments",{"micros":383},"apex_experiments",{"micros":23601},"user_activities",{"micros":4},"played_application_ids",{"micros":2},"linked_users",{"micros":2}]}]},"starting_guild_connect",{"micros":44,"calls":[]},"presence_started",{"micros":2426,"calls":[]},"guilds_started",{"micros":50,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":16399,"calls":[]},"connect_finished",{"micros":16406,"calls":[]},"build_ready",{"micros":11,"calls":[]},"clean_ready",{"micros":1,"calls":[]},"optimize_ready",{"micros":0,"calls":[]},"split_ready",{"micros":1,"calls":[]}]}]}]']}}
[2025-12-13 20:29:16] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-12-13 20:29:16] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: c3e86e8a21d57f5d7ee715ed265bfeb9).
[2025-12-13 20:29:16] [DEBUG   ] discord.client: Dispatching event connect
[2025-12-13 20:29:16] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'discovery_splash': None, 'splash': None, 'vanity_url_code': None, 'nsfw': False, 'incidents_data': None, 'latest_onboarding_question_id': None, 'roles': [{'version': 1765661911724, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2248473465835073', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '1449515858937380955', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1765661988209, 'unicode_emoji': None, 'tags': {'bot_id': '1449512052027560108'}, 'position': 1, 'permissions': '563276639759424', 'name': 'youtube_tutorial', 'mentionable': False, 'managed': True, 'id': '1449516180422525001', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}], 'application_command_counts': {}, 'large': False, 'public_updates_channel_id': None, 'profile': None, 'premium_subscription_count': 0, 'inventory_settings': None, 'default_message_notifications': 0, 'id': '1449515858937380955', 'name': 'Discord Bot Server', 'joined_at': '2025-12-13T21:39:48.229000+00:00', 'moderator_reporting': None, 'banner': None, 'threads': [], 'member_count': 2, 'max_members': 25000000, 'members': [{'user': {'username': 'youtube_tutorial', 'public_flags': 0, 'primary_guild': None, 'id': '1449512052027560108', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '3465', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1449516180422525001'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-12-13T21:39:48.229000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'afk_channel_id': None, 'embedded_activities': [], 'voice_states': [], 'description': None, 'icon': None, 'lazy': True, 'stickers': [], 'unavailable': False, 'system_channel_id': '1449515860015452354', 'safety_alerts_channel_id': None, 'preferred_locale': 'en-US', 'explicit_content_filter': 0, 'home_header': None, 'premium_tier': 0, 'soundboard_sounds': [], 'verification_level': 0, 'application_id': None, 'emojis': [], 'premium_features': None, 'guild_scheduled_events': [], 'channels': [{'version': 1765661911734, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Text Channels', 'id': '1449515860015452352', 'flags': 0}, {'version': 1765661911742, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Voice Channels', 'id': '1449515860015452353', 'flags': 0}, {'version': 1765661911751, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1449515860015452352', 'name': 'general', 'last_message_id': '1449619202947416104', 'id': '1449515860015452354', 'icon_emoji': {'name': '👋', 'id': None}, 'flags': 0}, {'version': 1765661911759, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1449515860015452353', 'name': 'General', 'last_message_id': None, 'id': '1449515860015452355', 'icon_emoji': {'name': '🎙', 'id': None}, 'flags': 0, 'bitrate': 64000}], 'max_video_channel_users': 25, 'system_channel_flags': 0, 'max_stage_video_channel_users': 50, 'mfa_level': 0, 'region': 'deprecated', 'nsfw_level': 0, 'owner_id': '260503091730710529', 'rules_channel_id': None, 'presences': [], 'version': 1765661911764, 'hub_type': None, 'owner_configured_content_level': 0, 'stage_instances': [], 'premium_progress_bar_enabled': False, 'features': [], 'activity_instances': [], 'afk_timeout': 300}}
[2025-12-13 20:29:16] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-12-13 20:29:16] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_MEMBERS_CHUNK', 's': 3, 'op': 0, 'd': {'nonce': 'c5e2c1adb0b61c891ce0124675c7e2da', 'members': [{'user': {'username': 'forrdd', 'public_flags': 128, 'primary_guild': None, 'id': '260503091730710529', 'global_name': 'Ford', 'display_name_styles': None, 'display_name': 'Ford', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '85154bda6162896b8a8370cd50f8713e'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-12-13T21:38:31.498000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'youtube_tutorial', 'public_flags': 0, 'primary_guild': None, 'id': '1449512052027560108', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '3465', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1449516180422525001'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-12-13T21:39:48.229000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'guild_id': '1449515858937380955', 'chunk_index': 0, 'chunk_count': 1}}
[2025-12-13 20:29:16] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-12-13 20:29:16] [DEBUG   ] discord.state: Processed a chunk for 2 members in guild ID 1449515858937380955.
[2025-12-13 20:29:18] [DEBUG   ] discord.client: Dispatching event guild_available
[2025-12-13 20:29:18] [DEBUG   ] discord.client: Dispatching event ready
[2025-12-13 20:29:23] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 4, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-12-14T04:29:25.100000+00:00', 'pinned': False, 'nonce': '1449619256160288768', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-12-13T21:38:31.498000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1449619263743590541', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '!hello', 'components': [], 'channel_type': 0, 'channel_id': '1449515860015452354', 'author': {'username': 'forrdd', 'public_flags': 128, 'primary_guild': None, 'id': '260503091730710529', 'global_name': 'Ford', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': '85154bda6162896b8a8370cd50f8713e'}, 'attachments': [], 'guild_id': '1449515858937380955'}}
[2025-12-13 20:29:23] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-12-13 20:29:23] [DEBUG   ] discord.client: Dispatching event message
[2025-12-13 20:29:23] [DEBUG   ] discord.client: Dispatching event command
[2025-12-13 20:29:23] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 5, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-12-14T04:29:25.270000+00:00', 'pinned': False, 'nonce': '6175457123210741857', 'mentions': [{'username': 'forrdd', 'public_flags': 128, 'primary_guild': None, 'member': {'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-12-13T21:38:31.498000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '260503091730710529', 'global_name': 'Ford', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': '85154bda6162896b8a8370cd50f8713e'}], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1449516180422525001'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-12-13T21:39:48.229000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1449619264456757340', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': 'Hello <@260503091730710529>!', 'components': [], 'channel_type': 0, 'channel_id': '1449515860015452354', 'author': {'username': 'youtube_tutorial', 'public_flags': 0, 'primary_guild': None, 'id': '1449512052027560108', 'global_name': None, 'display_name_styles': None, 'discriminator': '3465', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'attachments': [], 'guild_id': '1449515858937380955'}}
[2025-12-13 20:29:23] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-12-13 20:29:23] [DEBUG   ] discord.client: Dispatching event message
[2025-12-13 20:29:23] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1449515860015452354/messages with {"content":"Hello <@260503091730710529>!","components":[],"nonce":"6175457123210741857","enforce_nonce":true,"tts":false} has returned 200
[2025-12-13 20:29:23] [DEBUG   ] discord.http: POST /channels/{channel_id}/messages has found its initial rate limit bucket hash (3df15bae86f6647dd4dfcbd5c6949480).
[2025-12-13 20:29:23] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1449515860015452354/messages has received {'type': 0, 'content': 'Hello <@260503091730710529>!', 'mentions': [{'id': '260503091730710529', 'username': 'forrdd', 'avatar': '85154bda6162896b8a8370cd50f8713e', 'discriminator': '0', 'public_flags': 128, 'flags': 128, 'banner': None, 'accent_color': None, 'global_name': 'Ford', 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}], 'mention_roles': [], 'attachments': [], 'embeds': [], 'timestamp': '2025-12-14T04:29:25.270000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1449619264456757340', 'channel_id': '1449515860015452354', 'author': {'id': '1449512052027560108', 'username': 'youtube_tutorial', 'avatar': None, 'discriminator': '3465', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'nonce': '6175457123210741857'}
[2025-12-13 20:29:23] [DEBUG   ] discord.client: Dispatching event command_completion
[2025-12-13 20:29:26] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 6, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-12-14T04:29:27.903000+00:00', 'pinned': False, 'nonce': '1449619267669458944', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-12-13T21:38:31.498000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1449619275500355595', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '!hello', 'components': [], 'channel_type': 0, 'channel_id': '1449515860015452354', 'author': {'username': 'forrdd', 'public_flags': 128, 'primary_guild': None, 'id': '260503091730710529', 'global_name': 'Ford', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': '85154bda6162896b8a8370cd50f8713e'}, 'attachments': [], 'guild_id': '1449515858937380955'}}
[2025-12-13 20:29:26] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-12-13 20:29:26] [DEBUG   ] discord.client: Dispatching event message
[2025-12-13 20:29:26] [DEBUG   ] discord.client: Dispatching event command
[2025-12-13 20:29:26] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 7, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-12-14T04:29:28.188000+00:00', 'pinned': False, 'nonce': '8401043506674128897', 'mentions': [{'username': 'forrdd', 'public_flags': 128, 'primary_guild': None, 'member': {'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-12-13T21:38:31.498000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '260503091730710529', 'global_name': 'Ford', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': '85154bda6162896b8a8370cd50f8713e'}], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1449516180422525001'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-12-13T21:39:48.229000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1449619276695867434', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': 'Hello <@260503091730710529>!', 'components': [], 'channel_type': 0, 'channel_id': '1449515860015452354', 'author': {'username': 'youtube_tutorial', 'public_flags': 0, 'primary_guild': None, 'id': '1449512052027560108', 'global_name': None, 'display_name_styles': None, 'discriminator': '3465', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'attachments': [], 'guild_id': '1449515858937380955'}}
[2025-12-13 20:29:26] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-12-13 20:29:26] [DEBUG   ] discord.client: Dispatching event message
[2025-12-13 20:29:26] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1449515860015452354/messages with {"content":"Hello <@260503091730710529>!","components":[],"nonce":"8401043506674128897","enforce_nonce":true,"tts":false} has returned 200
[2025-12-13 20:29:26] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1449515860015452354/messages has received {'type': 0, 'content': 'Hello <@260503091730710529>!', 'mentions': [{'id': '260503091730710529', 'username': 'forrdd', 'avatar': '85154bda6162896b8a8370cd50f8713e', 'discriminator': '0', 'public_flags': 128, 'flags': 128, 'banner': None, 'accent_color': None, 'global_name': 'Ford', 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}], 'mention_roles': [], 'attachments': [], 'embeds': [], 'timestamp': '2025-12-14T04:29:28.188000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1449619276695867434', 'channel_id': '1449515860015452354', 'author': {'id': '1449512052027560108', 'username': 'youtube_tutorial', 'avatar': None, 'discriminator': '3465', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'nonce': '8401043506674128897'}
[2025-12-13 20:29:26] [DEBUG   ] discord.client: Dispatching event command_completion
[2025-12-13 20:29:26] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 8, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-12-14T04:29:28.343000+00:00', 'pinned': False, 'nonce': '1449619269653364736', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-12-13T21:38:31.498000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1449619277345722408', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '!hello', 'components': [], 'channel_type': 0, 'channel_id': '1449515860015452354', 'author': {'username': 'forrdd', 'public_flags': 128, 'primary_guild': None, 'id': '260503091730710529', 'global_name': 'Ford', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': '85154bda6162896b8a8370cd50f8713e'}, 'attachments': [], 'guild_id': '1449515858937380955'}}
[2025-12-13 20:29:26] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-12-13 20:29:26] [DEBUG   ] discord.client: Dispatching event message
[2025-12-13 20:29:26] [DEBUG   ] discord.client: Dispatching event command
[2025-12-13 20:29:26] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 9, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-12-14T04:29:28.552000+00:00', 'pinned': False, 'nonce': '1308886088145036520', 'mentions': [{'username': 'forrdd', 'public_flags': 128, 'primary_guild': None, 'member': {'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-12-13T21:38:31.498000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '260503091730710529', 'global_name': 'Ford', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': '85154bda6162896b8a8370cd50f8713e'}], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1449516180422525001'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-12-13T21:39:48.229000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1449619278222590106', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': 'Hello <@260503091730710529>!', 'components': [], 'channel_type': 0, 'channel_id': '1449515860015452354', 'author': {'username': 'youtube_tutorial', 'public_flags': 0, 'primary_guild': None, 'id': '1449512052027560108', 'global_name': None, 'display_name_styles': None, 'discriminator': '3465', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'attachments': [], 'guild_id': '1449515858937380955'}}
[2025-12-13 20:29:26] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-12-13 20:29:26] [DEBUG   ] discord.client: Dispatching event message
[2025-12-13 20:29:26] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1449515860015452354/messages with {"content":"Hello <@260503091730710529>!","components":[],"nonce":"1308886088145036520","enforce_nonce":true,"tts":false} has returned 200
[2025-12-13 20:29:26] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1449515860015452354/messages has received {'type': 0, 'content': 'Hello <@260503091730710529>!', 'mentions': [{'id': '260503091730710529', 'username': 'forrdd', 'avatar': '85154bda6162896b8a8370cd50f8713e', 'discriminator': '0', 'public_flags': 128, 'flags': 128, 'banner': None, 'accent_color': None, 'global_name': 'Ford', 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}], 'mention_roles': [], 'attachments': [], 'embeds': [], 'timestamp': '2025-12-14T04:29:28.552000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1449619278222590106', 'channel_id': '1449515860015452354', 'author': {'id': '1449512052027560108', 'username': 'youtube_tutorial', 'avatar': None, 'discriminator': '3465', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'nonce': '1308886088145036520'}
[2025-12-13 20:29:26] [DEBUG   ] discord.client: Dispatching event command_completion
[2025-12-13 20:29:27] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 10, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-12-14T04:29:28.604000+00:00', 'pinned': False, 'nonce': '1449619270735495168', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-12-13T21:38:31.498000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1449619278440435783', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '!hello', 'components': [], 'channel_type': 0, 'channel_id': '1449515860015452354', 'author': {'username': 'forrdd', 'public_flags': 128, 'primary_guild': None, 'id': '260503091730710529', 'global_name': 'Ford', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': '85154bda6162896b8a8370cd50f8713e'}, 'attachments': [], 'guild_id': '1449515858937380955'}}
[2025-12-13 20:29:27] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-12-13 20:29:27] [DEBUG   ] discord.client: Dispatching event message
[2025-12-13 20:29:27] [DEBUG   ] discord.client: Dispatching event command
[2025-12-13 20:29:27] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 11, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-12-14T04:29:28.938000+00:00', 'pinned': False, 'nonce': '1449619271683407872', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-12-13T21:38:31.498000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1449619279841333320', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '!hello', 'components': [], 'channel_type': 0, 'channel_id': '1449515860015452354', 'author': {'username': 'forrdd', 'public_flags': 128, 'primary_guild': None, 'id': '260503091730710529', 'global_name': 'Ford', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': '85154bda6162896b8a8370cd50f8713e'}, 'attachments': [], 'guild_id': '1449515858937380955'}}
[2025-12-13 20:29:27] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-12-13 20:29:27] [DEBUG   ] discord.client: Dispatching event message
[2025-12-13 20:29:27] [DEBUG   ] discord.client: Dispatching event command
